experiment,model,use_rag,use_validator,query_id,difficulty,category,question,ea,sa,arc,latency,err,cpq,rows,sql,error_msg
E6,gpt4,True,False,Q01,Easy,Occupancy,Which room has the highest occupancy?,0,,0,10.27,0,0.0,0,"SELECT      pes_rooms.room_name,      MAX(pes_all_readings.value) AS max_occupancy FROM      pes_all_readings JOIN      pes_rooms ON      pes_rooms.geometry_id = pes_all_readings.geometry_id WHERE      pes_all_readings.metric_name = 'Occupancy'      AND pes_all_readings.is_orphan = FALSE      AND pes_all_readings.is_valid = 'TRUE' GROUP BY      pes_rooms.room_name ORDER BY      max_occupancy DESC LIMIT 1;","column pes_rooms.room_name does not exist
LINE 2:     pes_rooms.room_name, 
            ^
"
E6,gpt4,True,False,Q02,Easy,CO2,What is the average CO2 level across all rooms?,1,,0,8.8,0,0.027,1,"SELECT ROUND(AVG(value)::numeric, 2) AS avg_co2  FROM pes_all_readings  WHERE metric_name = 'co2' AND is_orphan = FALSE AND is_valid = 'TRUE'",
E6,gpt4,True,False,Q03,Easy,Temperature,What is the average temperature across all rooms?,1,,0,6.32,0,0.027,1,"SELECT ROUND(AVG(value)::numeric, 2) AS avg_temp FROM pes_all_readings WHERE metric_name = 'temp' AND is_orphan = FALSE AND is_valid = 'TRUE'",
E6,gpt4,True,False,Q04,Easy,Occupancy,Which room is the least utilised on average?,1,,0,12.7,0,0.027,1,"SELECT room_name, ROUND(AVG(value)::numeric, 2) AS avg_occupancy FROM pes_all_readings WHERE metric_name = 'Occupancy' AND is_orphan = FALSE  AND is_valid = 'TRUE' AND aggregation = 'mean' GROUP BY room_name ORDER BY avg_occupancy ASC LIMIT 1;",
E6,gpt4,True,False,Q05,Easy,Humidity,What is the average humidity across all rooms?,1,,0,22.43,0,0.027,23,"SELECT room_name, ROUND(AVG(value)::numeric, 2) AS avg_humidity FROM pes_all_readings WHERE metric_name = 'humidity' AND is_orphan = FALSE AND is_valid = 'TRUE' GROUP BY room_name",
E6,gpt4,True,False,Q06,Medium,CO2,Which room had the highest CO2 reading during working hours?,0,,0,9.96,0,0.0,0,"SELECT  pes_rooms.room_name AS room_name,  MAX(pes_all_readings.value) AS max_co2  FROM  pes_all_readings  JOIN  pes_rooms  ON  pes_rooms.geometry_id = pes_all_readings.geometry_id  WHERE  pes_all_readings.metric_name = 'co2' AND  pes_all_readings.is_orphan = FALSE AND  pes_all_readings.is_valid = 'TRUE' AND pes_all_readings.is_working = 'TRUE' GROUP BY  pes_rooms.room_name  ORDER BY  max_co2 DESC  LIMIT 1;","column pes_rooms.room_name does not exist
LINE 2: pes_rooms.room_name AS room_name, 
        ^
"
E6,gpt4,True,False,Q07,Medium,Occupancy,What are the top 5 most occupied rooms on average?,1,,0,9.09,0,0.027,5,"SELECT      room_name,      ROUND(AVG(value)::numeric, 2) AS avg_occupancy FROM      pes_all_readings  WHERE      metric_name = 'Occupancy'  AND      is_orphan = FALSE  AND      is_valid = 'TRUE'  GROUP BY      room_name  ORDER BY      avg_occupancy DESC  LIMIT 5;",
E6,gpt4,True,False,Q08,Medium,Temperature,Which rooms have an average temperature above 23 degrees?,0,,0,11.29,0,0.0,0,"SELECT    pes_rooms.room_name,    ROUND(AVG(pes_all_readings.value)::numeric, 2) AS avg_temp FROM    pes_all_readings JOIN   pes_rooms ON pes_rooms.geometry_id = pes_all_readings.geometry_id WHERE    pes_all_readings.metric_name = 'temp' AND    pes_all_readings.is_orphan = FALSE AND    pes_all_readings.is_valid = 'TRUE' GROUP BY    pes_rooms.room_name HAVING    AVG(pes_all_readings.value) > 23;","column pes_rooms.room_name does not exist
LINE 2:   pes_rooms.room_name, 
          ^
"
E6,gpt4,True,False,Q09,Medium,Building Health,Which rooms have the highest preservation index?,1,,0,9.71,0,0.027,19,"SELECT pes_rooms.display_name, MAX(pes_all_readings.value) AS max_preservation_index FROM pes_all_readings JOIN pes_rooms ON pes_all_readings.geometry_id = pes_rooms.geometry_id WHERE pes_all_readings.is_orphan = FALSE  AND pes_all_readings.is_valid = 'TRUE'  AND pes_all_readings.metric_name = 'preservationIndex' GROUP BY pes_rooms.display_name ORDER BY max_preservation_index DESC;",
E6,gpt4,True,False,Q10,Medium,Occupancy,Show me the average occupancy per room during working hours only.,1,,0,15.14,0,0.027,31,"SELECT      pr.display_name as room_display_name,      ROUND(AVG(par.value)::numeric, 2) AS avg_occupancy  FROM      pes_all_readings par  JOIN      pes_rooms pr  ON      par.geometry_id = pr.geometry_id  WHERE      par.metric_name = 'Occupancy'      AND par.aggregation = 'mean'      AND par.is_orphan = FALSE      AND par.is_valid = 'TRUE'      AND par.is_working = 'TRUE' GROUP BY      pr.display_name  ORDER BY      avg_occupancy DESC;",
