experiment,model,use_rag,use_validator,query_id,difficulty,category,question,ea,sa,arc,latency,err,cpq,rows,sql,error_msg
E1,gpt4,True,True,Q01,Easy,Occupancy,Which room has the highest occupancy?,1,,0,9.27,0,0.027,1,"SELECT room_name, MAX(value) AS max_occupancy  FROM pes_all_readings  WHERE is_valid = 'TRUE' AND is_orphan = FALSE AND metric_name = 'Occupancy' AND aggregation = 'max'  GROUP BY room_name  ORDER BY max_occupancy DESC  LIMIT 1;",
E1,gpt4,True,True,Q02,Easy,CO2,What is the average CO2 level across all rooms?,1,,0,10.31,0,0.027,1,SELECT AVG(value) AS avg_co2 FROM pes_all_readings  WHERE metric_name = 'co2'  AND is_orphan = FALSE  AND is_valid = 'TRUE',
E1,gpt4,True,True,Q03,Easy,Temperature,What is the average temperature across all rooms?,1,,0,11.56,0,0.027,1,SELECT AVG(value) AS avg_temp  FROM pes_all_readings  WHERE metric_name = 'temp' AND is_orphan = FALSE AND is_valid = 'TRUE' AND aggregation = 'mean';,
E1,gpt4,True,True,Q04,Easy,Occupancy,Which room is the least utilised on average?,1,,0,6.9,0,0.027,1,"SELECT room_name, AVG(value) AS avg_occupancy  FROM pes_all_readings  WHERE metric_name = 'Occupancy'  AND is_orphan = FALSE  AND is_valid = 'TRUE'  AND aggregation = 'mean'  GROUP BY room_name  ORDER BY avg_occupancy  LIMIT 1",
E1,gpt4,True,True,Q05,Easy,Humidity,What is the average humidity across all rooms?,1,,0,6.12,0,0.027,1,"SELECT ROUND(AVG(value)::numeric, 2) AS avg_humidity FROM pes_all_readings  WHERE metric_name = 'humidity'  AND is_orphan = FALSE  AND is_valid = 'TRUE';",
E1,gpt4,True,True,Q06,Medium,CO2,Which room had the highest CO2 reading during working hours?,1,,0,7.89,0,0.027,1,"SELECT room_name, MAX(value) AS max_co2 FROM pes_all_readings WHERE metric_name = 'co2' AND is_orphan = FALSE AND is_valid = 'TRUE' GROUP BY room_name ORDER BY max_co2 DESC LIMIT 1;",
E1,gpt4,True,True,Q07,Medium,Occupancy,What are the top 5 most occupied rooms on average?,1,,0,13.01,0,0.027,5,"SELECT    p.display_name,   ROUND(AVG(r.value)::numeric, 2) AS avg_occupancy FROM    pes_all_readings r JOIN    pes_rooms p ON p.geometry_id = r.geometry_id WHERE    r.is_orphan = FALSE AND    r.is_valid = 'TRUE' AND    r.metric_name = 'Occupancy' AND    r.aggregation = 'mean' GROUP BY    p.display_name ORDER BY    avg_occupancy DESC LIMIT 5",
E1,gpt4,True,True,Q08,Medium,Temperature,Which rooms have an average temperature above 23 degrees?,1,,0,10.75,0,0.027,1,"SELECT room_name, ROUND(AVG(value)::numeric, 2) AS avg_temp FROM pes_all_readings  WHERE metric_name = 'temp' AND is_orphan = FALSE AND is_valid = 'TRUE'  GROUP BY room_name  HAVING AVG(value) > 23;",
E1,gpt4,True,True,Q09,Medium,Building Health,Which rooms have the highest preservation index?,1,,0,12.39,0,0.027,1,"SELECT      pes_rooms.display_name,      AVG(pes_all_readings.value) AS AvgPreservationIndex FROM     pes_rooms JOIN      pes_all_readings  ON      pes_rooms.geometry_id = pes_all_readings.geometry_id WHERE      pes_all_readings.is_orphan = FALSE AND      pes_all_readings.is_valid = 'TRUE' AND      pes_all_readings.metric_name = 'preservationIndex' GROUP BY      pes_rooms.display_name ORDER BY      AvgPreservationIndex DESC  LIMIT 1;",
E1,gpt4,True,True,Q10,Medium,Occupancy,Show me the average occupancy per room during working hours only.,1,,0,11.47,0,0.027,31,"SELECT pr.display_name, ROUND(AVG(par.value)::numeric, 2) AS avg_occupancy FROM pes_all_readings par JOIN pes_rooms pr ON pr.geometry_id = par.geometry_id WHERE par.is_orphan = FALSE AND par.is_valid = 'TRUE' AND par.metric_name = 'Occupancy' GROUP BY pr.display_name",
